,Name,Rating,Genre,Release Date,Runtime,Director,URL
0,Five Nights at Freddy's,85.49,"Horror,Mystery","Oct 27, 2023",1h 50m,Emma Tammi,https://www.themoviedb.org/movie/507089
1,Expend4bles,64.9,"Action,Adventure,Thriller","Sep 15, 2023",1h 43m,Scott Waugh,https://www.themoviedb.org/movie/299054
2,The Equalizer 3,73.06,"Action,Thriller,Crime","Aug 30, 2023",1h 49m,Antoine Fuqua,https://www.themoviedb.org/movie/926393
3,Mission: Impossible - Dead Reckoning Part One,77.34,"Action,Thriller","Jul 08, 2023",2h 44m,Christopher McQuarrie,https://www.themoviedb.org/movie/575264
4,Sound of Freedom,81.34,"Action,Drama","Jul 03, 2023",2h 11m,Alejandro Gómez Monteverde,https://www.themoviedb.org/movie/678512
5,Gran Turismo,80.47,"Adventure,Action,Drama","Aug 09, 2023",2h 15m,Neill Blomkamp,https://www.themoviedb.org/movie/980489
6,Fast X,72.46000000000001,"Action,Crime,Thriller","May 19, 2023",2h 22m,Louis Leterrier,https://www.themoviedb.org/movie/385687
7,The Nun II,69.77000000000001,"Horror,Mystery,Thriller","Sep 06, 2023",1h 50m,Michael Chaves,https://www.themoviedb.org/movie/968051
8,Saw X,72.64,"Horror,Thriller","Sep 26, 2023",1h 58m,Kevin Greutert,https://www.themoviedb.org/movie/951491
9,Uri: The Surgical Strike,70.42,"Action,Drama,War","Jan 11, 2019",2h 18m,Aditya Dhar,https://www.themoviedb.org/movie/554600
10,The Exorcist: Believer,60.739999999999995,Horror,"Oct 06, 2023",1h 51m,David Gordon Green,https://www.themoviedb.org/movie/807172
11,Retribution,69.92,"Action,Thriller,Crime","Aug 23, 2023",1h 33m,Nimród Antal,https://www.themoviedb.org/movie/762430
12,Talk to Me,71.87,"Horror,Thriller","Aug 04, 2023",1h 35m,Danny Philippou,https://www.themoviedb.org/movie/1008042
13,Meg 2: The Trench,67.88,"Action,Science Fiction,Horror","Aug 02, 2023",1h 56m,Ben Wheatley,https://www.themoviedb.org/movie/615656
14,Mortal Kombat Legends: Cage Match,68.44,"Animation,Action,Fantasy","Oct 17, 2023",1h 20m,Ethan Spaulding,https://www.themoviedb.org/movie/1034062
15,Blue Beetle,70.46000000000001,"Action,Science Fiction,Adventure","Aug 18, 2023",2h 8m,Ángel Manuel Soto,https://www.themoviedb.org/movie/565770
16,PAW Patrol: The Mighty Movie,70.49000000000001,"Animation,Family,Action,Science Fiction","Oct 13, 2023",1h 32m,Cal Brunker,https://www.themoviedb.org/movie/893723
17,Nowhere,76.05000000000001,"Thriller,Drama","Sep 29, 2023",1h 49m,Albert Pintó,https://www.themoviedb.org/movie/1151534
18,Coco,82.2,"Family,Animation,Fantasy,Music,Comedy,Adventure","Nov 24, 2017",1h 45m,Lee Unkrich,https://www.themoviedb.org/movie/354912
19,The Conference,55.03,"Horror,Comedy,Thriller","Oct 13, 2023",1h 40m,Patrik Eklund,https://www.themoviedb.org/movie/1161048
20,Jigen Daisuke,74.69,"Action,Crime,Drama","Oct 12, 2023",2h,Hajime Hashimoto,https://www.themoviedb.org/movie/1157049
21,Barbie,72.0,"Comedy,Adventure,Fantasy","Jul 21, 2023",1h 54m,Greta Gerwig,https://www.themoviedb.org/movie/346698
22,The Ritual Killer,59.88,"Mystery,Thriller,Action,Drama","Mar 09, 2023",1h 32m,George Gallo,https://www.themoviedb.org/movie/862552
23,Elemental,77.45,"Animation,Comedy,Family,Fantasy,Romance","Jun 16, 2023",1h 42m,Peter Sohn,https://www.themoviedb.org/movie/976573
24,57 Seconds,56.65,"Thriller,Science Fiction,Action","Sep 29, 2023",1h 39m,Rusty Cundieff,https://www.themoviedb.org/movie/937249
25,Awareness,57.12,"Science Fiction,Mystery,Thriller,Action","Mar 16, 2023",1h 52m,Daniel Benmayor,https://www.themoviedb.org/movie/1067820
26,Spider-Man: Across the Spider-Verse,84.0,"Animation,Action,Adventure","Jun 01, 2023",2h 20m,Justin K. Thompson,https://www.themoviedb.org/movie/569094
27,Transformers: Rise of the Beasts,74.74000000000001,"Action,Adventure,Science Fiction","Jun 09, 2023",2h 7m,Steven Caple Jr.,https://www.themoviedb.org/movie/667538
28,Ballerina,69.64,"Action,Crime,Thriller","Oct 05, 2023",1h 33m,Lee Chung-hyun,https://www.themoviedb.org/movie/961268
29,Muzzle,63.52,"Action,Crime,Drama,Thriller","Sep 29, 2023",1h 40m,John Stalberg Jr.,https://www.themoviedb.org/movie/939335
30,Desperation Road,75.28999999999999,"Action,Crime,Drama,Thriller","Oct 19, 2023",1h 52m,Nadine Crocker,https://www.themoviedb.org/movie/1039690
31,Terror on the Prairie,61.14,"Western,Action,Thriller","Sep 08, 2022",1h 47m,Michael Polish,https://www.themoviedb.org/movie/884315
32,Once Upon a Studio,86.62,"Family,Animation,Fantasy,Comedy","Sep 24, 2023",9m,Trent Correy,https://www.themoviedb.org/movie/1139087
33,Dark Harvest,57.99,"Horror,Fantasy,Thriller","Oct 11, 2023",1h 33m,David Slade,https://www.themoviedb.org/movie/675531
34,The Super Mario Bros. Movie,77.66,"Animation,Family,Adventure,Fantasy,Comedy","Apr 07, 2023",1h 33m,Michael Jelenic,https://www.themoviedb.org/movie/502356
35,After Everything,69.39,"Romance,Drama","Oct 06, 2023",1h 33m,Castille Landon,https://www.themoviedb.org/movie/820525
36,V/H/S/85,66.14,"Horror,Thriller,Fantasy,Science Fiction,Crime,Mystery","Sep 22, 2023",1h 50m,Gigi Saul Guerrero,https://www.themoviedb.org/movie/1032948
37,John Wick: Chapter 4,78.0,"Action,Thriller,Crime","Mar 22, 2023",2h 50m,Chad Stahelski,https://www.themoviedb.org/movie/603692
38,Indiana Jones and the Dial of Destiny,66.84,"Adventure,Action","Jun 28, 2023",2h 35m,James Mangold,https://www.themoviedb.org/movie/335977
39,Oppenheimer,82.47,"Drama,History","Jul 21, 2023",3h 1m,Christopher Nolan,https://www.themoviedb.org/movie/872585
40,Killers of the Flower Moon,78.67,"Crime,Drama,Thriller","Oct 18, 2023",3h 26m,Martin Scorsese,https://www.themoviedb.org/movie/466420
41,The Flash,68.71000000000001,"Action,Adventure,Science Fiction","Jun 15, 2023",2h 24m,Andy Muschietti,https://www.themoviedb.org/movie/298618
42,Pet Sematary: Bloodlines,62.73,"Horror,Fantasy,Science Fiction","Sep 23, 2023",1h 27m,Lindsey Beer,https://www.themoviedb.org/movie/830764
43,My Fault,80.77,"Drama,Romance","Jun 08, 2023",1h 57m,Domingo González,https://www.themoviedb.org/movie/1010581
44,The Kill Room,62.0,"Crime,Thriller,Action","Sep 14, 2023",1h 38m,Nicol Paone,https://www.themoviedb.org/movie/958006
45,Mavka: The Forest Song,72.94,"Animation,Adventure,Family,Fantasy","Mar 02, 2023",1h 39m,Oleksandra Ruban,https://www.themoviedb.org/movie/459003
46,Haunted Mansion,66.73,"Fantasy,Comedy,Horror,Family","Jul 26, 2023",2h 3m,Justin Simien,https://www.themoviedb.org/movie/616747
47,One More Shot,57.0,"Action,Science Fiction","Oct 13, 2022",1h 22m,Tang Qiaojia,https://www.themoviedb.org/movie/875279
48,Carl's Date,77.0,"Animation,Adventure,Family","Jun 15, 2023",9m,Bob Peterson,https://www.themoviedb.org/movie/1076364
49,Kandahar,69.15,"Action,Thriller","May 25, 2023",1h 59m,Ric Roman Waugh,https://www.themoviedb.org/movie/717930
50,Trolls Band Together,69.0,"Animation,Family,Music,Fantasy,Comedy","Nov 17, 2023",1h 32m,Walt Dohrn,https://www.themoviedb.org/movie/901362
51,The Little Mermaid,65.11,"Adventure,Family,Fantasy,Romance","May 18, 2023",2h 15m,Rob Marshall,https://www.themoviedb.org/movie/447277
52,Overhaul,66.39,"Action,Thriller,Drama","Sep 27, 2023",1h 40m,Tomás Portella,https://www.themoviedb.org/movie/818511
53,Inu-Oh,72.96000000000001,"Animation,Drama,Music","May 28, 2022",1h 39m,Masaaki Yuasa,https://www.themoviedb.org/movie/642538
54,Totally Killer,69.52,"Comedy,Horror","Sep 28, 2023",1h 45m,Nahnatchka Khan,https://www.themoviedb.org/movie/974931
55,Radical,65.0,Drama,"Oct 19, 2023",2h 7m,Christopher Zalla,https://www.themoviedb.org/movie/1058694
56,Guardians of the Galaxy Vol. 3,80.13999999999999,"Science Fiction,Adventure,Action","May 03, 2023",2h 30m,James Gunn,https://www.themoviedb.org/movie/447365
57,No One Will Save You,68.11,"Horror,Science Fiction,Thriller","Sep 22, 2023",1h 33m,Brian Duffield,https://www.themoviedb.org/movie/820609
58,Balkan Line,76.68,"Drama,Action,War","Mar 21, 2019",2h 10m,Andrey Volgin,https://www.themoviedb.org/movie/517093
59,No Hard Feelings,71.35,"Comedy,Romance","Sep 23, 2023",1h 44m,Gene Stupnitsky,https://www.themoviedb.org/movie/884605
60,Avatar: The Way of Water,76.5,"Science Fiction,Adventure,Action","Dec 16, 2022",3h 12m,James Cameron,https://www.themoviedb.org/movie/76600
61,It Lives Inside,57.94,"Horror,Mystery","Sep 06, 2023",1h 39m,Bishal Dutta,https://www.themoviedb.org/movie/1024773
62,"Miraculous: Ladybug & Cat Noir, The Movie",78.17,"Animation,Family,Action,Fantasy,Romance","Jul 05, 2023",1h 47m,Jeremy Zag,https://www.themoviedb.org/movie/496450
63,Sniper: G.R.I.T. - Global Response & Intelligence Team,67.0,"Action,Thriller","Sep 26, 2023",1h 32m,Oliver Thompson,https://www.themoviedb.org/movie/1171541
64,Teenage Mutant Ninja Turtles: Mutant Mayhem,73.47,"Animation,Comedy,Action,Science Fiction","Jul 31, 2023",1h 40m,Jeff Rowe,https://www.themoviedb.org/movie/614930
65,The Mill,59.379999999999995,"Science Fiction,Horror","Oct 09, 2023",1h 46m,Sean King O'Grady,https://www.themoviedb.org/movie/1081400
66,Justice League: Warworld,72.6,"Animation,Action,Science Fiction,Adventure","Jul 25, 2023",1h 30m,Jeff Wamester,https://www.themoviedb.org/movie/1003581
67,Meteor Storm,46.0,"Science Fiction,Adventure,TV Movie","Jan 30, 2010",1h 30m,Tibor Takács,https://www.themoviedb.org/movie/55241
68,Amigos,46.0,"Action,Thriller","Feb 10, 2023",2h 17m,Rajendra Reddy,https://www.themoviedb.org/movie/1034587
69,Puss in Boots: The Last Wish,82.60999999999999,"Adventure,Fantasy,Animation,Comedy,Family,Action","Jan 20, 2023",1h 43m,Joel Crawford,https://www.themoviedb.org/movie/315162
70,The Nightmare Before Christmas,78.45,"Fantasy,Animation,Family","Oct 09, 1993",1h 16m,Henry Selick,https://www.themoviedb.org/movie/9479
71,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",83.0,"Animation,Action,Fantasy,Adventure","Oct 17, 2023",Not defined,Kerry Shawcross,https://www.themoviedb.org/movie/1150537
72,"Ruby Gillman, Teenage Kraken",74.39,"Animation,Family,Fantasy,Comedy","Jun 28, 2023",1h 31m,Kirk DeMicco,https://www.themoviedb.org/movie/1040148
